wie¿owiec mieszkalny przy ul. Grochowskiej;M;J. Wellenger;Grunwald, Grochowska/Grunwaldzka;-1970;1970;1;0;0;0;0;1;1;0;0;0;yes
Instytut Obróbki Plastycznej;P;J. Gierczyk;Berdychowo/Jana Paw³a II;-1967;1967;1;1;0;0;1;0;0;0;0;0;yes
Arena;Q;J. Turzeniecki;£azarz, Wyspiañskiego;-1974;1974;1;1;0;1;0;1;1;0;0;0;yes
Malta, kompleks sportowo-rekreacyjny;Q;K. Miku³a;Centrum?, Malta;-1980;1992;1;1;0;1;0;1;1;0;0;0;yes
POSiR - Basen Chwia³ka;Q;NN;Wilda, Chwia³kowskiego;-1957;1957;1;0;0;0;0;1;0;0;1;0;yes
Pawilon targowy Nr 10 Ministerstwa Przemys³u;T;B.Schmidt;Centrum, MTP;-1949;1949;1;0;0;1;1;1;0;1;0;0;yes
Pawilon targowy Nr 11;T;B. Schmidt/ J. Buszkiewicz, E. Skrzypczak;Centrum, MTP;-1945;1995;0;0;1;1;0;0;1;0;0;0;yes
Wojewódzki Szpital Chorób P³ucnych i GruŸlicy [zesp. Z parkiem];Z;J. Czarnecka, Z. Waschko, Z. Praies, rozbudowa;Ogrody?, Szamarzewskiego 62;-1956;1972;0;1;0;0;0;1;1;0;1;0;yes
Wojewódzki Szpital Zespolony;Z;H. Marcinkowski;?, Lutycka;-1964;1972;1;0;0;0;1;0;1;0;0;0;yes
Klinika Psychiatryczna;Z;C. Celichowski, W. Kasprzycki, W³. Wojciechowski;Grunwald?, Bukowska/Szpitalna;-1966;1968;1;0;0;0;1;0;1;0;1;0;yes
Koœció³ pw. Œwiêtego Wawrzyñca (Palotyni);R;B. Schmidt;Grunwald, Przybyszewskiego 30;-1980;1984;1;0;1;0;0;0;1;0;0;0;yes
Koœció³ pw. Nawiedzenia NMP;R;S. So³tyk, M. Eibel, A. Krawczyk;Os. Bochaterów II Wojny 88;-1982;1997;1;0;1;0;0;0;1;0;0;0;yes
Koœció³ pw. Pierwszych Polskich Mêczenników;R;A. Maleszka;Os. Tysi¹clecia 73;-1987;1987;1;1;0;0;0;1;1;0;0;0;yes
Koœció³ pw. Œw. Jana Kantego;R;J. Wêc³awski,;Grunwald, Grunwaldzka 86;-1988;1988;1;0;0;0;0;1;1;0;0;0;yes
Koœæo³ pw. Œw. Jana Bosco;R;J. Kopyd³owski;Winogrady, Warzywna 17;-1988;1988;1;0;0;0;0;1;1;0;0;0;yes
Budynek mieszkalno-us³ugowy przy A. Marcinkowskiego;MH;H. Jarosz, Gorzelski;Al.. Marcinkowskiego 11;-1957;1957;1;1;0;0;0;0;1;0;0;0;yes
Zespó³ mieszkaniowy przy ulicy Promienistej;M;M. Weigt;Promienista/Obronna;-1972;1974;1;1;0;0;0;0;1;0;0;0;yes
Miastoprojekt - biurowiec;A;S. Podgórski, T. P³oñczak;Centrum, Al.. Niepodleg³oœci;-1948;1950;1;0;0;1;1;0;1;0;1;0;yes
Dom technika, NOT;A;H. Jarosz, J. Liœniewicz, J. Wellenger;Centrum, ul. Wieniawskiego 5/9;-1963;1963;1;0;1;0;0;1;1;0;0;0;yes
Urz¹d Wojewódzki (d. Wojewódzka Rada Narodowa+stara czêœæ);A;J. Buszkiewicz, J. Maciejewski;Centrum, Al.. Niepodleg³oœci;-1969;1969;1;0;0;0;0;1;1;0;1;0;yes
Szko³a podstawowa nr 13;E;H. Jarosz, W³. Wojciechowski;Centrum, Al.. Niepodleg³oœci 32;-1957;1957;1;0;0;0;0;1;0;0;1;0;yes
AWF - budynek dydaktyczny;E;M. Leykam;Centrum, ul. Królowek Jadwigi 27/39;-1965;1972;1;0;0;0;1;0;1;0;0;0;yes
Zespó³ Szkó³ Muzycznych;E;W. Milewski, Z. Skupniewicz;Centrum, ul. Solna 12;-1965;1975;1;0;0;0;1;1;1;0;0;0;yes
Collegium Novum - UAM;E;J. Liœniewicz, L. Sternal;Centrum, Al.. Niepodlegloœci 4;-1968;1968;0;1;0;0;0;0;1;1;0;0;yes
PAN;E;Z. Skupniewicz, Z. Lutomski;Centrum, ul. Wieniawskiego 17/19;-1993;1993;0;1;0;0;0;1;1;0;0;0;yes
pawilon handlowo-us³ugowy;AH;nn;Centrum, ul.Wierzbowa 2;-1965;1970;1;0;0;0;0;0;0;0;1;0;no
budynek biurowy;A;nn;Ostrów Tumski;-1970;1980;0;0;0;0;0;1;0;0;1;0;no
Koœció³ pw. Œw.Krzy¿a;R;A.Holas;Górczyn, ul.Czêstochowska 16;-1983;1983;0;0;1;1;0;0;0;1;0;0;no
Hotel Olimpia;G;nn;Grunwald, ul. Taborowa 8;-1975;1975;0;1;1;0;0;1;0;0;0;0;no
budynek administracyjno-sztabowy  DWLot;A;A. Ziemkowski;Centrum, ul Koœciuszki 92-98;-1975;1975;0;0;0;1;0;1;0;0;1;0;no
Szko³a podstawowa nr 75;E;H.Jarosz, S.Zieleœkiewicz;Centrum, ul. Powst. Wielkopolskich 2;-1960;1965;1;1;0;0;0;0;1;0;0;0;no
Hotel „Polonez” (obecnie dom sudencki);G;J.Liœniewicz, J.Maciejewski, S.Zieleœkiewicz, Cz.Nawrocki;Centrum, Niepodleg³oœci 36;-1974;1974;1;0;0;1;1;0;0;0;0;0;no
Osiedle Rusa;M;T.Ga³ecki, L.Wejchert, J.Schmidt ?;Rataje, OS Rusa;-1966;1980;1;0;0;0;1;0;0;0;1;0;no
"Budynek wielorodzinny ""16""";M;J. Schmidt, Z. Piwowarczyk, R. Pawu³a;Rataje, Os.Piastowskie 36;-1966;1972;1;0;0;0;1;1;0;0;1;0;no
Budynek wielorodzinny;M;nn;Górczyn, ul.G³ogowska 154;-1960;1970;1;0;0;0;0;0;0;0;1;0;no
Budynek biurowy MPK;A;nn;Górczyn, ul.G³ogowska 131/133;-1960;1960;0;0;0;1;0;0;0;0;1;0;no
"Budynek wielorodzinny ""5""";M;J. Schmidt, Z. Piwowarczyk, R. Pawu³a;Rataje, Os.Piastowskie 33;-1966;1972;1;0;0;0;0;0;0;0;1;0;no
"Budynek wielorodzinny ""deska""";M;J. Schmidt, Z. Piwowarczyk, R. Pawu³a;Rataje, Os.Piastowskie 22;-1966;1972;1;0;0;0;0;0;0;0;1;0;no
Elektrociep³ownia Karolin;P;W.Ptasiñski;G³ówna, ul. Energetyczna 3;-1974;1997;1;0;0;0;0;0;0;0;0;0;no
Szpital MSWiA;Z;H. Marcinkowski, P. Namys³;Winogrady, Dojazd 44;-1968;1974;1;0;0;1;0;0;0;0;0;0;no
domy akademickie: „Zbyszko” „Jagienka”;G;J. Czaplicki, W. Janicka;Winogrady, Pi¹tkowska 80;-1968;1968;0;0;0;1;0;0;0;0;1;0;no
terminal autobusowy PKS;I;nn;Centrum, ul.Wierzbiêcice;-1960;1960;0;0;1;1;0;0;0;0;0;0;no
osiedle Zodiak;M;J. Schmidt, M. Urbañski;Rataje, Os. Zodiak;-1975;1985;1;0;0;0;0;0;0;0;1;0;no
osiedle PrzyjaŸni;M;M. Weigt, J. Buszkiewicz;Winogrady, Os PrzyjaŸni;-1968;1968;1;0;0;0;0;0;0;0;1;0;no
Szko³a Podstawowa nr 66;E;nn;Winogrady, Os PrzyjaŸni 12;-1972;1972;1;0;0;0;0;0;0;0;1;0;no
D¹brówka. Pi¹tkowskie Centrum Kultury;Q;nn;Pi¹tkowo, ul.Gieburowskiego;-1978;1980;0;0;1;0;0;0;0;0;1;0;no
Chartowo Tower;M;K. Fr¹ckowiak, A. Kornecka, S. Miko³ajczak, K. Weiss;Rataje, ul.Chartowo 29;-2001;2001;1;0;0;0;0;0;0;1;0;0;no
zespó³ mieszkaniowy ¯egrze;M;M. Urbañski;Rataje, ul.Inflancka 65?;-1998;2000;0;0;0;0;1;1;0;0;0;0;no
stadion  KS Lech;Q;W.Ry¿yñski (przebudowa);Grunwald, Bu³garska;-1970;2012;0;0;1;1;0;0;0;0;0;0;no
koœció³ p.w. Œw. Mateusza;R;B. Namys³;Rataje, os. Or³a Bia³ego 1/2;-2001;2001;0;0;0;1;0;0;0;1;0;0;no
budynek mieszkalny i biblioteka;MQ;W. Milewski, Z. Skupniewicz;£azarz, ul.Lodowa;-1962;1962;1;0;0;0;0;0;0;0;0;0;no
budynek mieszkalny wielorodzinny;M;J. Jêdrzejczak;Centrum, ul.Garbary 4-14;-1963;1966;0;0;0;0;0;1;0;0;0;1;no
zespó³ mieszkaniowy;M;M. Weigt;Grunwald, ul.Promienista;-1972;1974;1;0;0;0;0;1;0;0;0;0;no
Multikino;Q;APA Wojciechowski;Centrum, ul.Królowej Jadwigi;-1990;1995;1;0;0;0;0;0;0;0;1;0;no
Muzeum Narodowe (rozbudowa);Q;R. Trzaska, J. Janczewski, T. Nasfeter;Centrum, al. Marcinkowskiego 9;-1965;1999;1;0;0;1;0;0;0;0;0;0;no
Dworzec G³ówny PKP;I;Z. K³opocki, K. Eserowski;Centrum, ul.Dworcowa;-1976;1976;1;0;0;1;0;0;0;0;1;0;no
Zespo³ Szkó³ Budowlano-Drzewnych;E;nn;Grunwald, Raszyñska 48;-1960;1960;0;0;0;0;0;0;0;0;1;1;no
Budynek wielorodzinny;M;nn;Grunwald, Raszyñska;-1960;1963;0;0;0;0;0;1;0;0;1;0;no
Dom Ksi¹¿ki;H;B.Bednarek, Z.£omski;Centrum, Gwarna 13;-1975;1975;1;0;0;0;0;0;1;1;0;0;no
Budynek  wielorodzinny;M;nn;Parkowa 5/7 i 9/11;-1955;1960;1;0;0;0;0;0;0;1;1;0;no
Budynek biurowy;A;nn;Winogrady, Gronowa 20;-1970;1980;1;0;0;0;0;0;0;1;1;0;no
KW Policji;A;nn;Je¿yce, Kochanowskiego;-1960;1965;0;0;0;1;0;0;0;0;0;0;no
Szpital Dzieciêcy;Z;nn;Centrum, Noskowskiego;-1970;1980;0;0;0;0;0;0;0;0;1;0;no
Koœció³ pw. Œwiêtej Rodziny;R;B. Celichowski, W. Kasprzycki, W. Wojciechowski;Grunwald, Promienista 131;-1978;1988;1;0;0;0;0;1;1;0;0;1;no
Budynek  wielorodzinny;M;nn;Je¿yce, Sienkiewicza 11/ Asnyka 7-9;-1957;1958;0;1;0;0;0;0;0;0;0;0;no
Budynek biurowy Poznañskiej Fabryki £o¿ysk Tocznych;A;nn;Nowe Miasto, Nieszawska 13a;-1958;1965;0;0;0;0;0;0;0;0;1;0;no
Dom ksiê¿y pallotynów i budynek Wydawnictwa Pallotinum;A;rozb. B. Celichowski 1983;Grunwald, Przybyszewskiego 30;-1972;1972;1;0;1;0;0;1;0;0;0;0;no
Budynki Wydzia³u In¿ynierii Mechanicznej i Wydzia³u Elektrycznego PP;E;L. Sternal;Berdychowo, Piotrowo 3-3a;-1965;1975;1;0;0;0;0;0;0;1;0;0;no
Budynki Wydzia³u Fizyki  UAM;E;J. Gurawski;Morasko, Uniwersytetu Poznañskiego 2;-1984;1994;1;0;0;0;1;1;0;0;0;0;no
Szko³a Podstawowa nr 85;E;J. Pawlak;Zawady, Tomickiego 16;-1963;1963;1;0;0;0;0;0;0;0;1;0;no
Szko³a Podstawowa nr 88;E;W. Wojciechowski;Grunwald, Swoboda 53;-1964;1964;1;0;0;0;0;1;1;0;0;0;no
Koœció³ pw. Matki Boskiej Czêstochowskiej;R;H. Marcinkowski;Naramowice, Naramowicka 156;-1977;1985;0;0;0;1;0;1;1;0;0;1;no
Klinika Pediatrii;Z;J. Otomañski;Grunwald, Szpitalna 27/53;-1972;1972;1;0;0;0;0;0;0;0;0;0;no
Dom studencki AWF;G;nn;Piotrowo, œw. Rocha 11;-1975;1980;0;0;0;0;0;0;0;0;0;0;no
Oœrodek Szkolno-Wychowawczego dla Dzieci i M³odzie¿y Niepe³nosprawnej;Z;L. Sternal;Grunwald, Szamarzewskiego 78/82;-1967;1971;1;1;0;0;0;0;1;0;0;0;no
Przedszkole;E;W. Wojciechowski, W. Kasprzycki;Grunwald, Œwit 40/42;-1964;1964;1;0;0;0;0;1;0;0;1;0;no
Hotel Polonez;G;J. Liœniewicz, J. Maciejewski, S. Zieleœkiewicz, C. Nawrocki;Centrum, Niepodleg³oœci 36;-1974;1974;1;0;0;1;1;0;0;1;0;0;no
Budynek wielorodzinny;AH;E. Sieiñski, M. Wrzeszcz;Je¿yce, D¹browskiego 18;-1987;1987;1;0;0;0;0;1;0;1;0;0;no
Budynek mieszkalno-us³ugowy;AH;J. Jarosz, J. Gorzelski;Centrum, Al. Marcinkowskiego 11;-1957;1957;0;1;0;0;0;1;0;0;1;0;no
Budynki Zak³adów Przemys³u Gumowego Stomil;P;nn;Staro³êka, Staro³êcka 18;-1958;1974;0;0;1;0;0;0;0;0;1;0;no
Pawilony Galerii Miejskiej Arsena³ i Wielkopolskiego Muzeum Wojskowego;Q;J. Cieœliñski, Z. Lutomski, R. Pawulanka;Centrum, Stary Rynek 3;-1962;1962;1;0;0;1;0;0;0;0;0;0;no
